method,frames,lpips,fid,temporal_pairs,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,300,0.15306788320342699,9.273268695434,299,0.0003694221530192186,0.144726890970931
Fine-tuned Real-ESRGAN,300,0.26690321328739325,21.79928947365319,299,0.0008488520032790081,0.2600416763620233
Direction C Hybrid,300,0.15501790896058082,9.463057361316272,299,0.00036977603496208064,0.1470417399021694
